
ir:	repeticiones 399		P= 0.003937279823167783	I= 7.988585035931796 bits
is:	repeticiones 636		P= 0.006275964830914061	I= 7.315947016869786 bits
it:	repeticiones 298		P= 0.0029406250308370912	I= 8.40966145169198 bits
iu:	repeticiones 77		P= 0.0007598259307867653	I= 10.36204343145924 bits
iv:	repeticiones 144		P= 0.001420973169263561	I= 9.45890497071183 bits
iw:	repeticiones 0		P= 0.0	I= 0 bits
ix:	repeticiones 77		P= 0.0007598259307867653	I= 10.36204343145924 bits
iy:	repeticiones 0		P= 0.0	I= 0 bits
iz:	repeticiones 89		P= 0.0008782403615587287	I= 10.153096541187743 bits
i&:	repeticiones 244		P= 0.002407760092363256	I= 8.698092634591255 bits
ja:	repeticiones 109		P= 0.0010755977461786677	I= 9.860645647377215 bits
jb:	repeticiones 0		P= 0.0	I= 0 bits
jc:	repeticiones 0		P= 0.0	I= 0 bits
jç:	repeticiones 0		P= 0.0	I= 0 bits
jd:	repeticiones 0		P= 0.0	I= 0 bits
je:	repeticiones 13		P= 0.00012828230000296037	I= 12.928390254013049 bits
jf:	repeticiones 0		P= 0.0	I= 0 bits
jg:	repeticiones 0		P= 0.0	I= 0 bits
jh:	repeticiones 0		P= 0.0	I= 0 bits
ji:	repeticiones 0		P= 0.0	I= 0 bits
jj:	repeticiones 0		P= 0.0	I= 0 bits
jk:	repeticiones 0		P= 0.0	I= 0 bits
jl:	repeticiones 0		P= 0.0	I= 0 bits
jm:	repeticiones 0		P= 0.0	I= 0 bits
jn:	repeticiones 0		P= 0.0	I= 0 bits
jo:	repeticiones 38		P= 0.00037497903077788415	I= 11.380902458710557 bits
jp:	repeticiones 0		P= 0.0	I= 0 bits
jq:	repeticiones 0		P= 0.0	I= 0 bits
jr:	repeticiones 0		P= 0.0	I= 0 bits
js:	repeticiones 0		P= 0.0	I= 0 bits
jt:	repeticiones 0		P= 0.0	I= 0 bits
ju:	repeticiones 63		P= 0.0006216757615528079	I= 10.651550048654224 bits
jv:	repeticiones 0		P= 0.0	I= 0 bits
jw:	repeticiones 0		P= 0.0	I= 0 bits
jx:	repeticiones 0		P= 0.0	I= 0 bits
jy:	repeticiones 0		P= 0.0	I= 0 bits
jz:	repeticiones 0		P= 0.0	I= 0 bits
j&:	repeticiones 0		P= 0.0	I= 0 bits
ka:	repeticiones 0		P= 0.0	I= 0 bits
kb:	repeticiones 0		P= 0.0	I= 0 bits
kc:	repeticiones 0		P= 0.0	I= 0 bits
kç:	repeticiones 0		P= 0.0	I= 0 bits
kd:	repeticiones 0		P= 0.0	I= 0 bits
ke:	repeticiones 0		P= 0.0	I= 0 bits
kf:	repeticiones 0		P= 0.0	I= 0 bits
kg:	repeticiones 0		P= 0.0	I= 0 bits
kh:	repeticiones 0		P= 0.0	I= 0 bits
ki:	repeticiones 0		P= 0.0	I= 0 bits
kj:	repeticiones 0		P= 0.0	I= 0 bits
kk:	repeticiones 0		P= 0.0	I= 0 bits
kl:	repeticiones 0		P= 0.0	I= 0 bits
km:	repeticiones 0		P= 0.0	I= 0 bits
kn:	repeticiones 0		P= 0.0	I= 0 bits
ko:	repeticiones 0		P= 0.0	I= 0 bits
kp:	repeticiones 0		P= 0.0	I= 0 bits
kq:	repeticiones 0		P= 0.0	I= 0 bits
kr:	repeticiones 0		P= 0.0	I= 0 bits
ks:	repeticiones 0		P= 0.0	I= 0 bits
kt:	repeticiones 0		P= 0.0	I= 0 bits
ku:	repeticiones 0		P= 0.0	I= 0 bits
kv:	repeticiones 0		P= 0.0	I= 0 bits
kw:	repeticiones 0		P= 0.0	I= 0 bits
kx:	repeticiones 0		P= 0.0	I= 0 bits
ky:	repeticiones 0		P= 0.0	I= 0 bits
kz:	repeticiones 0		P= 0.0	I= 0 bits
k&:	repeticiones 0		P= 0.0	I= 0 bits
la:	repeticiones 445		P= 0.004391201807793643	I= 7.8311684463003814 bits
lb:	repeticiones 4		P= 3.9471476923987806e-05	I= 14.628829972154142 bits
lc:	repeticiones 11		P= 0.00010854656154096646	I= 13.169398353516844 bits
lç:	repeticiones 11		P= 0.00010854656154096646	I= 13.169398353516844 bits
ld:	repeticiones 11		P= 0.00010854656154096646	I= 13.169398353516844 bits
le:	repeticiones 317		P= 0.0031281145462260336	I= 8.320490942014734 bits
lf:	repeticiones 2		P= 1.9735738461993903e-05	I= 15.628829972154142 bits
lg:	repeticiones 85		P= 0.0008387688846347408	I= 10.219439036016439 bits
lh:	repeticiones 427		P= 0.004213580161635698	I= 7.890737712533651 bits
li:	repeticiones 191		P= 0.0018847630231204177	I= 9.051401144118392 bits
lj:	repeticiones 0		P= 0.0	I= 0 bits
lk:	repeticiones 0		P= 0.0	I= 0 bits
ll:	repeticiones 0		P= 0.0	I= 0 bits
lm:	repeticiones 54		P= 0.0005328649384738353	I= 10.873942469990673 bits
ln:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
lo:	repeticiones 228		P= 0.0022498741846673047	I= 8.7959399579894 bits
lp:	repeticiones 28		P= 0.0002763003384679146	I= 11.821475050096538 bits
lq:	repeticiones 21		P= 0.00020722525385093597	I= 12.236512549375382 bits
lr:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
ls:	repeticiones 6		P= 5.9207215385981705e-05	I= 14.043867471432986 bits
lt:	repeticiones 98		P= 0.0009670511846377012	I= 10.014120128038932 bits
lu:	repeticiones 62		P= 0.000611807892321811	I= 10.674633661767267 bits
lv:	repeticiones 26		P= 0.00025656460000592074	I= 11.928390254013049 bits
lw:	repeticiones 0		P= 0.0	I= 0 bits
lx:	repeticiones 0		P= 0.0	I= 0 bits
ly:	repeticiones 0		P= 0.0	I= 0 bits
lz:	repeticiones 0		P= 0.0	I= 0 bits
l&:	repeticiones 147		P= 0.0014505767769565517	I= 9.429157627317776 bits
ma:	repeticiones 887		P= 0.008752800007894296	I= 6.836039677853077 bits
mb:	repeticiones 74		P= 0.0007302223230937744	I= 10.41937660652519 bits
mc:	repeticiones 12		P= 0.00011841443077196341	I= 13.043867471432986 bits
mç:	repeticiones 0		P= 0.0	I= 0 bits
md:	repeticiones 8		P= 7.894295384797561e-05	I= 13.628829972154142 bits
me:	repeticiones 776		P= 0.007657466523253634	I= 7.028917129967013 bits
mf:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
mg:	repeticiones 0		P= 0.0	I= 0 bits
mh:	repeticiones 2		P= 1.9735738461993903e-05	I= 15.628829972154142 bits
mi:	repeticiones 198		P= 0.001953838107737396	I= 8.999473352074531 bits
mj:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
mk:	repeticiones 0		P= 0.0	I= 0 bits
ml:	repeticiones 5		P= 4.933934615498475e-05	I= 14.306901877266778 bits
mm:	repeticiones 12		P= 0.00011841443077196341	I= 13.043867471432986 bits
mn:	repeticiones 15		P= 0.00014801803846495426	I= 12.721939376545622 bits
mo:	repeticiones 530		P= 0.005229970692428384	I= 7.578981422703579 bits
mp:	repeticiones 177		P= 0.0017466128538864603	I= 9.161224422071143 bits
mq:	repeticiones 4		P= 3.9471476923987806e-05	I= 14.628829972154142 bits
mr:	repeticiones 7		P= 6.907508461697865e-05	I= 13.821475050096538 bits
ms:	repeticiones 26		P= 0.00025656460000592074	I= 11.928390254013049 bits
mt:	repeticiones 8		P= 7.894295384797561e-05	I= 13.628829972154142 bits
mu:	repeticiones 243		P= 0.002397892223132259	I= 8.70401746854836 bits
mv:	repeticiones 5		P= 4.933934615498475e-05	I= 14.306901877266778 bits
mw:	repeticiones 0		P= 0.0	I= 0 bits
mx:	repeticiones 0		P= 0.0	I= 0 bits
my:	repeticiones 0		P= 0.0	I= 0 bits
mz:	repeticiones 0		P= 0.0	I= 0 bits
m&:	repeticiones 1161		P= 0.01145659617718746	I= 6.447677715288575 bits
na:	repeticiones 753		P= 0.007430505530940704	I= 7.072323917482213 bits
nb:	repeticiones 0		P= 0.0	I= 0 bits
nc:	repeticiones 252		P= 0.0024867030462112317	I= 8.651550048654224 bits
nç:	repeticiones 69		P= 0.0006808829769387896	I= 10.520305515375972 bits
nd:	repeticiones 453		P= 0.004470144761641618	I= 7.805462732107906 bits
ne:	repeticiones 172		P= 0.0016972735077314756	I= 9.202565217452044 bits
nf:	repeticiones 54		P= 0.0005328649384738353	I= 10.873942469990673 bits
ng:	repeticiones 69		P= 0.0006808829769387896	I= 10.520305515375972 bits
nh:	repeticiones 341		P= 0.00336494340776996	I= 8.215202043129969 bits
ni:	repeticiones 119		P= 0.0011742764384886372	I= 9.734012208846197 bits
nj:	repeticiones 6		P= 5.9207215385981705e-05	I= 14.043867471432986 bits
nk:	repeticiones 0		P= 0.0	I= 0 bits
nl:	repeticiones 0		P= 0.0	I= 0 bits
nm:	repeticiones 0		P= 0.0	I= 0 bits
nn:	repeticiones 0		P= 0.0	I= 0 bits
no:	repeticiones 312		P= 0.0030787752000710484	I= 8.343427753291893 bits
np:	repeticiones 0		P= 0.0	I= 0 bits
nq:	repeticiones 36		P= 0.00035524329231589023	I= 11.45890497071183 bits
nr:	repeticiones 2		P= 1.9735738461993903e-05	I= 15.628829972154142 bits
ns:	repeticiones 264		P= 0.002605117476983195	I= 8.584435852795687 bits
nt:	repeticiones 1016		P= 0.010025755138692902	I= 6.640145285381975 bits
nu:	repeticiones 115		P= 0.0011348049615646494	I= 9.783339921209766 bits
nv:	repeticiones 21		P= 0.00020722525385093597	I= 12.236512549375382 bits
nw:	repeticiones 0		P= 0.0	I= 0 bits
nx:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
ny:	repeticiones 0		P= 0.0	I= 0 bits
nz:	repeticiones 5		P= 4.933934615498475e-05	I= 14.306901877266778 bits
n&:	repeticiones 0		P= 0.0	I= 0 bits
oa:	repeticiones 79		P= 0.0007795616692487591	I= 10.325049223977038 bits
ob:	repeticiones 74		P= 0.0007302223230937744	I= 10.41937660652519 bits
oc:	repeticiones 181		P= 0.0017860843308104481	I= 9.128984085070936 bits
oç:	repeticiones 6		P= 5.9207215385981705e-05	I= 14.043867471432986 bits
od:	repeticiones 187		P= 0.0018452915461964299	I= 9.081935512266504 bits
oe:	repeticiones 105		P= 0.0010361262692546798	I= 9.914584454488018 bits
of:	repeticiones 54		P= 0.0005328649384738353	I= 10.873942469990673 bits
og:	repeticiones 52		P= 0.0005131292000118415	I= 10.928390254013049 bits
oh:	repeticiones 2		P= 1.9735738461993903e-05	I= 15.628829972154142 bits
